source_zip,target_path
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,README_SIG_BRAIN4.md
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,scripts/build_sig_brain4_runtime_payload.py
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,scripts/validate_sig_brain4_outputs.py
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,scripts/build_sig_brain4_runtime_payload.bat
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,scripts/validate_sig_brain4_outputs.bat
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,inputs/sig_brain4_live_context_sample.json
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,inputs/sig_brain4_live_context_latest.json
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,contracts/sig_brain4_runtime_integration_contract_v1_0.json
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,schemas/sig_brain4_runtime_payload_schema_v1_0.json
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,proofs/sig_brain4_validation_result.json
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,docs/SIG_BRAIN4_SETUP_FA.md
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,.github/workflows/sig_brain4_display_only_mobile_panel.yml
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,panel/brain4/index.html
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,panel/brain4/sig_brain4_runtime_payload_current.json
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,panel/brain4/assets/brain4.css
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,panel/brain4/assets/brain4_panel.js
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,runtime/sig_brain/sig_brain4_runtime_payload_current.json
SIGBRAIN4_Runtime_Brain_Memory_Integration_Mobile_Display_v1_0.zip,data/sig_brain/brain_memory_registry_v1_0.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,README_SIG_BRAIN5.md
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,scripts/build_sig_brain4_runtime_payload.py
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,scripts/validate_sig_brain4_outputs.py
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,scripts/build_sig_brain5_live_context.py
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,scripts/validate_sig_brain5_context_builder.py
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,scripts/build_sig_brain5_live_context.bat
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,scripts/validate_sig_brain5_context_builder.bat
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,inputs/sig_brain5_raw_bars_sample.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,inputs/sig_brain5_raw_bars_latest.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,inputs/sig_brain4_live_context_latest.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,contracts/sig_brain4_runtime_integration_contract_v1_0.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,contracts/sig_brain5_context_builder_contract_v1_0.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,schemas/sig_brain4_runtime_payload_schema_v1_0.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,schemas/sig_brain5_raw_bars_input_schema_v1_0.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,proofs/sig_brain4_validation_result.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,proofs/sig_brain5_context_validation_result.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,docs/SIG_BRAIN5_SETUP_FA.md
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,.github/workflows/sig_brain5_context_builder_brain4_panel.yml
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,panel/brain4/index.html
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,panel/brain4/sig_brain4_runtime_payload_current.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,panel/brain4/assets/brain4.css
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,panel/brain4/assets/brain4_panel.js
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,data/sig_brain/brain_memory_registry_v1_0.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,runtime/sig_brain/sig_brain5_derived_context_latest.json
SIGBRAIN5_Upstream_Live_Context_Builder_For_Brain4_v1_0.zip,runtime/sig_brain/sig_brain4_runtime_payload_current.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,README_SIG_BRAIN6.md
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,scripts/validate_sig_brain6_context_registry.py
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,scripts/check_sig_brain6_runtime_context_coverage.py
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,scripts/validate_sig_brain6_context_registry.bat
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,scripts/check_sig_brain6_runtime_context_coverage.bat
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,contracts/sig_brain6_context_field_registry_contract_v1_0.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,schemas/context_field_registry_schema_v1_0.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,schemas/memory_context_requirements_schema_v1_0.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,docs/SIG_BRAIN6_CONTEXT_FIELD_REGISTRY_FA.md
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,proofs/sig_brain6_context_registry_validation_result.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,proofs/sig_brain6_context_registry_validation_result.csv
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,proofs/sig_brain6_runtime_context_coverage_result.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,inputs/sig_brain4_live_context_latest.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,data/sig_brain/brain_memory_registry_v1_0.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,data/sig_brain/context_field_registry_v1_0.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,data/sig_brain/feature_family_catalog_v1_0.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,data/sig_brain/memory_context_requirements_matrix_v1_0.csv
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,data/sig_brain/memory_context_requirements_matrix_v1_0.json
SIGBRAIN6_Context_Field_Registry_Feature_Catalog_v1_0.zip,data/sig_brain/context_builder_support_registry_v1_0.json
